Muon_Iso,Muon_EtaCM,Model_QCDToMu_Pbp,Sigma0_QCDToMu_Pbp,Sigma1_QCDToMu_Pbp,Sigma2_QCDToMu_Pbp,
#
0.6_0.7,+1.00_+1.20,ModifiedRayleigh,
0.6_0.7,+1.20_+1.40,ModifiedRayleigh,
0.6_0.7,+1.40_+1.60,ModifiedRayleigh,
0.6_0.7,+1.60_+1.80,ModifiedRayleigh,
0.6_0.7,+1.80_+2.00,ModifiedRayleigh,
0.6_0.7,+2.00_+2.20,ModifiedRayleigh,
0.6_0.7,+2.20_+2.40,ModifiedRayleigh,
0.6_0.7,+2.40_+2.60,ModifiedRayleigh,
0.6_0.7,+2.60_+2.86,ModifiedRayleigh,
0.6_0.7,-1.93_+2.86,ModifiedRayleigh,
#
0.7_0.8,-1.93_-1.80,ModifiedRayleigh,
0.7_0.8,-1.80_-1.60,ModifiedRayleigh,
0.7_0.8,-1.60_-1.40,ModifiedRayleigh,
0.7_0.8,-1.40_-1.20,ModifiedRayleigh,
0.7_0.8,-1.20_-1.00,ModifiedRayleigh,
0.7_0.8,-1.00_-0.80,ModifiedRayleigh,
0.7_0.8,-0.80_-0.60,ModifiedRayleigh,
0.7_0.8,-0.60_-0.40,ModifiedRayleigh,
0.7_0.8,-0.40_-0.20,ModifiedRayleigh,
0.7_0.8,-0.20_-0.00,ModifiedRayleigh,
0.7_0.8,-0.00_+0.20,ModifiedRayleigh,
0.7_0.8,+0.20_+0.40,ModifiedRayleigh,
0.7_0.8,+0.40_+0.60,ModifiedRayleigh,
0.7_0.8,+0.60_+0.80,ModifiedRayleigh,
0.7_0.8,+0.80_+1.00,ModifiedRayleigh,
0.7_0.8,+1.00_+1.20,ModifiedRayleigh,
0.7_0.8,+1.20_+1.40,ModifiedRayleigh,
0.7_0.8,+1.40_+1.60,ModifiedRayleigh,
0.7_0.8,+1.60_+1.80,ModifiedRayleigh,
0.7_0.8,+1.80_+2.00,ModifiedRayleigh,
0.7_0.8,+2.00_+2.20,ModifiedRayleigh,
0.7_0.8,+2.20_+2.40,ModifiedRayleigh,
0.7_0.8,+2.40_+2.60,ModifiedRayleigh,
0.7_0.8,+2.60_+2.86,ModifiedRayleigh,
0.7_0.8,-1.93_+2.86,ModifiedRayleigh,
#
0.8_0.9,-1.93_-1.80,ModifiedRayleigh,
0.8_0.9,-1.80_-1.60,ModifiedRayleigh,
0.8_0.9,-1.60_-1.40,ModifiedRayleigh,
0.8_0.9,-1.40_-1.20,ModifiedRayleigh,
0.8_0.9,-1.20_-1.00,ModifiedRayleigh,
0.8_0.9,-1.00_-0.80,ModifiedRayleigh,
0.8_0.9,-0.80_-0.60,ModifiedRayleigh,
0.8_0.9,-0.60_-0.40,ModifiedRayleigh,
0.8_0.9,-0.40_-0.20,ModifiedRayleigh,
0.8_0.9,-0.20_-0.00,ModifiedRayleigh,
0.8_0.9,-0.00_+0.20,ModifiedRayleigh,
0.8_0.9,+0.20_+0.40,ModifiedRayleigh,
0.8_0.9,+0.40_+0.60,ModifiedRayleigh,
0.8_0.9,+0.60_+0.80,ModifiedRayleigh,
0.8_0.9,+0.80_+1.00,ModifiedRayleigh,
0.8_0.9,+1.00_+1.20,ModifiedRayleigh,
0.8_0.9,+1.20_+1.40,ModifiedRayleigh,
0.8_0.9,+1.40_+1.60,ModifiedRayleigh,
0.8_0.9,+1.60_+1.80,ModifiedRayleigh,
0.8_0.9,+1.80_+2.00,ModifiedRayleigh,
0.8_0.9,+2.00_+2.20,ModifiedRayleigh,
0.8_0.9,+2.20_+2.40,ModifiedRayleigh,
0.8_0.9,+2.40_+2.60,ModifiedRayleigh,
0.8_0.9,+2.60_+2.86,ModifiedRayleigh,
0.8_0.9,-1.93_+2.86,ModifiedRayleigh,
#
0.9_1.0,-1.93_-1.80,ModifiedRayleigh,
0.9_1.0,-1.80_-1.60,ModifiedRayleigh,
0.9_1.0,-1.60_-1.40,ModifiedRayleigh,
0.9_1.0,-1.40_-1.20,ModifiedRayleigh,
0.9_1.0,-1.20_-1.00,ModifiedRayleigh,
0.9_1.0,-1.00_-0.80,ModifiedRayleigh,
0.9_1.0,-0.80_-0.60,ModifiedRayleigh,
0.9_1.0,-0.60_-0.40,ModifiedRayleigh,
0.9_1.0,-0.40_-0.20,ModifiedRayleigh,
0.9_1.0,-0.20_-0.00,ModifiedRayleigh,
0.9_1.0,-0.00_+0.20,ModifiedRayleigh,
0.9_1.0,+0.20_+0.40,ModifiedRayleigh,
0.9_1.0,+0.40_+0.60,ModifiedRayleigh,
0.9_1.0,+0.60_+0.80,ModifiedRayleigh,
0.9_1.0,+0.80_+1.00,ModifiedRayleigh,
0.9_1.0,+1.00_+1.20,ModifiedRayleigh,
0.9_1.0,+1.20_+1.40,ModifiedRayleigh,
0.9_1.0,+1.40_+1.60,ModifiedRayleigh,
0.9_1.0,+1.60_+1.80,ModifiedRayleigh,
0.9_1.0,+1.80_+2.00,ModifiedRayleigh,
0.9_1.0,+2.00_+2.20,ModifiedRayleigh,
0.9_1.0,+2.20_+2.40,ModifiedRayleigh,
0.9_1.0,+2.40_+2.60,ModifiedRayleigh,
0.9_1.0,+2.60_+2.86,ModifiedRayleigh,
0.9_1.0,-1.93_+2.86,ModifiedRayleigh,
#
